Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-D,Camera,339.0,115,Supplier-B,2025-05-28,3492
WH-C,Monitor,,103,Supplier-B,2026-04-07,1985
WH-D,Mobile,430.0,142,Supplier-A,2026-06-05,3425
WH-D,Mouse,441.0,185,Supplier-X,2025-08-30,2243
WH-A,Keyboard,130.0,74,Supplier-X,2025-06-12,841
WH-B,Printer,118.0,113,Supplier-Y,2026-05-28,2195
WH-B,Printer,412.0,141,Supplier-X,2024-11-01,3031
WH-D,Printer,105.0,190,Supplier-X,2026-01-29,2370
WH-E,Mouse,293.0,163,Supplier-Y,2026-05-01,2259
WH-C,Mouse,231.0,160,Supplier-Z,2025-07-04,2015
WH-C,Monitor,299.0,246,Supplier-B,2025-06-15,2828
WH-C,Mouse,249.0,50,Supplier-A,2025-01-18,2118
WH-A,Keyboard,28.0,127,Supplier-B,2026-02-04,887
WH-C,Monitor,458.0,247,Supplier-Y,2025-01-09,3144
WH-C,Tablet,39.0,89,Supplier-X,2026-04-14,1637
WH-C,Mouse,147.0,126,Supplier-B,2025-11-08,1588
WH-E,Printer,489.0,69,Supplier-B,2025-02-01,4287
WH-C,Camera,269.0,226,Supplier-Y,2026-02-15,3116
WH-E,Mobile,348.0,237,Supplier-B,2026-02-25,3607
WH-E,Printer,,247,Supplier-X,2025-08-09,2221
WH-C,Printer,496.0,247,Supplier-A,2025-07-12,3554
WH-E,Laptop,47.0,60,Supplier-A,2025-10-30,2754
WH-E,Tablet,277.0,89,Supplier-Z,2025-01-02,2906
WH-D,Camera,314.0,106,Supplier-B,2025-01-30,3613
WH-C,Printer,87.0,171,Supplier-Y,2025-06-07,2303
WH-A,Printer,63.0,161,Supplier-Z,2024-08-30,2035
WH-B,Tablet,306.0,151,Supplier-A,2026-01-06,2801
WH-E,Monitor,335.0,184,Supplier-B,2025-02-07,3181
WH-B,Mobile,417.0,225,Supplier-Z,2024-12-30,2895
WH-A,Mobile,236.0,98,Supplier-A,2025-01-28,2122
WH-C,Laptop,106.0,207,Supplier-Z,2025-03-18,2688
WH-D,Tablet,42.0,109,Supplier-A,2025-03-06,2178
WH-C,Tablet,77.0,112,Supplier-X,2026-05-25,1998
WH-B,Keyboard,195.0,78,Supplier-X,2025-08-24,1341
WH-D,Camera,189.0,187,Supplier-X,2024-09-01,2725
WH-B,Keyboard,267.0,86,Supplier-B,2024-10-16,2156
WH-A,Printer,483.0,61,Supplier-B,2024-10-26,3229
WH-B,Laptop,122.0,208,Supplier-Z,2024-12-27,2254
WH-A,Camera,54.0,119,Supplier-X,2025-04-24,1951
WH-C,Mobile,169.0,216,Supplier-X,2025-12-22,2054
WH-B,Printer,,130,Supplier-B,2024-10-27,2098
WH-E,Mobile,121.0,167,Supplier-Y,2025-12-31,2500
WH-A,Laptop,492.0,135,Supplier-Y,2024-12-14,3176
WH-D,Tablet,197.0,140,Supplier-X,2024-08-19,2561
WH-C,Monitor,161.0,210,Supplier-B,2025-05-19,2264
WH-D,Laptop,163.0,137,Supplier-B,2025-05-13,3040
WH-B,Mobile,286.0,206,Supplier-A,2025-03-15,2754
WH-B,Printer,313.0,129,Supplier-Y,2025-08-26,2798
WH-C,Camera,87.0,85,Supplier-B,2025-06-27,2808
WH-E,Monitor,178.0,184,Supplier-Y,2025-05-19,2353
WH-D,Tablet,489.0,67,Supplier-B,2024-08-18,3802
WH-E,Mobile,182.0,87,Supplier-Y,2024-12-08,2768
WH-A,Mouse,230.0,240,Supplier-A,2026-04-08,1710
WH-C,Tablet,74.0,56,Supplier-Y,2025-05-23,2162
WH-E,Keyboard,310.0,202,Supplier-B,2025-04-29,2648
WH-B,Laptop,60.0,172,Supplier-Z,2026-06-03,1998
WH-E,Camera,114.0,175,Supplier-Z,2026-02-18,3034
WH-B,Tablet,,245,Supplier-Y,2025-09-27,1357
WH-C,Printer,400.0,101,Supplier-Y,2025-12-23,3337
WH-B,Mobile,494.0,162,Supplier-Y,2024-07-16,3175
WH-E,Camera,463.0,113,Supplier-Z,2026-04-27,4057
WH-D,Laptop,396.0,234,Supplier-B,2026-05-16,3698
WH-D,Laptop,75.0,60,Supplier-B,2026-02-15,3024
WH-B,Printer,305.0,245,Supplier-X,2025-09-21,2687
WH-A,Monitor,245.0,127,Supplier-Z,2025-04-22,2181
WH-C,Camera,236.0,63,Supplier-Y,2025-07-06,3011
WH-E,Tablet,444.0,73,Supplier-A,2024-07-05,3851
WH-E,Mobile,418.0,228,Supplier-Y,2025-03-31,3383
WH-B,Printer,185.0,95,Supplier-A,2025-02-17,2537
WH-E,Monitor,66.0,227,Supplier-A,2026-02-06,2480
WH-B,Mobile,78.0,212,Supplier-X,2025-04-29,1569
WH-A,Printer,333.0,146,Supplier-B,2026-04-24,2930
WH-D,Laptop,487.0,218,Supplier-Y,2026-05-24,3952
WH-B,Tablet,111.0,63,Supplier-Y,2026-04-11,1897
WH-C,Keyboard,167.0,80,Supplier-A,2025-05-22,1668
WH-B,Laptop,411.0,167,Supplier-B,2025-08-23,3437
WH-D,Laptop,471.0,105,Supplier-B,2026-02-01,4064
WH-D,Camera,,203,Supplier-A,2026-01-22,2353
WH-B,Keyboard,341.0,103,Supplier-B,2025-08-29,2048
WH-B,Tablet,354.0,87,Supplier-X,2026-03-14,2749
WH-A,Keyboard,,77,Supplier-Z,2025-10-12,813
WH-B,Tablet,332.0,229,Supplier-Z,2026-05-29,2750
WH-E,Tablet,403.0,59,Supplier-A,2024-12-19,3406
WH-C,Mouse,479.0,67,Supplier-Z,2025-07-15,2725
WH-D,Mobile,261.0,227,Supplier-Z,2024-12-18,2973
WH-C,Mouse,231.0,228,Supplier-B,2025-01-28,1900
WH-E,Laptop,312.0,211,Supplier-X,2025-06-04,3356
WH-A,Camera,498.0,230,Supplier-B,2025-07-13,3491
WH-D,Mouse,289.0,209,Supplier-Z,2024-07-23,2148
WH-B,Camera,393.0,176,Supplier-B,2025-04-29,3642
WH-B,Monitor,,56,Supplier-Z,2025-03-19,1488
WH-A,Monitor,232.0,135,Supplier-B,2025-12-02,2125
WH-E,Monitor,347.0,122,Supplier-X,2025-12-10,2821
WH-A,Keyboard,279.0,246,Supplier-Z,2026-03-12,1440
WH-A,Mouse,222.0,207,Supplier-Z,2025-05-11,1180
WH-B,Monitor,446.0,222,Supplier-Z,2026-01-14,2833
WH-D,Laptop,266.0,167,Supplier-Y,2024-11-06,3290
WH-E,Mouse,421.0,240,Supplier-A,2026-04-14,2691
WH-E,Keyboard,391.0,192,Supplier-B,2025-06-29,3047
WH-A,Monitor,370.0,140,Supplier-B,2026-06-15,2393
WH-B,Keyboard,193.0,210,Supplier-X,2024-10-08,1452
WH-B,Printer,324.0,250,Supplier-Y,2025-10-27,2906
WH-C,Mouse,159.0,177,Supplier-X,2025-08-19,1626
WH-B,Mouse,444.0,105,Supplier-A,2024-07-21,2400
WH-C,Tablet,211.0,249,Supplier-X,2026-06-05,2186
WH-A,Camera,32.0,178,Supplier-B,2025-05-03,2024
WH-B,Mouse,395.0,129,Supplier-A,2025-10-03,2382
WH-C,Tablet,440.0,182,Supplier-X,2025-09-12,3116
WH-B,Monitor,255.0,183,Supplier-X,2025-11-27,1874
WH-A,Keyboard,371.0,72,Supplier-X,2024-07-22,1683
WH-D,Laptop,286.0,240,Supplier-X,2024-09-04,2967
WH-A,Keyboard,184.0,123,Supplier-Y,2025-11-12,1193
WH-E,Mouse,363.0,88,Supplier-A,2025-05-29,2569
WH-C,Mobile,338.0,76,Supplier-X,2024-10-14,2469
WH-E,Mouse,183.0,230,Supplier-B,2026-05-05,2460
WH-C,Monitor,56.0,136,Supplier-Y,2025-06-24,1794
WH-D,Laptop,34.0,222,Supplier-Y,2024-11-19,2177
WH-A,Printer,64.0,95,Supplier-X,2024-08-09,1802
WH-E,Camera,202.0,100,Supplier-B,2025-01-19,3621
WH-E,Mobile,310.0,228,Supplier-A,2025-04-21,3219
WH-A,Camera,370.0,246,Supplier-Z,2025-03-12,2998
WH-D,Monitor,93.0,207,Supplier-Y,2024-12-12,1961
WH-C,Printer,378.0,134,Supplier-Y,2025-06-19,3287
WH-C,Camera,,78,Supplier-A,2025-03-11,2329
WH-D,Camera,164.0,204,Supplier-Y,2025-03-20,2936
WH-B,Mobile,438.0,77,Supplier-A,2026-02-12,2930
WH-E,Mobile,292.0,201,Supplier-Z,2026-05-15,3037
WH-B,Monitor,101.0,148,Supplier-B,2025-04-21,1786
WH-C,Monitor,240.0,161,Supplier-B,2025-02-02,2660
WH-C,Monitor,359.0,239,Supplier-Y,2026-02-05,2791
WH-E,Camera,323.0,133,Supplier-X,2026-04-08,3503
WH-A,Camera,177.0,67,Supplier-Y,2025-05-24,2387
WH-A,Printer,273.0,65,Supplier-Z,2025-01-12,2315
WH-B,Tablet,482.0,50,Supplier-B,2026-04-10,3483
WH-B,Tablet,292.0,207,Supplier-A,2024-09-02,2721
WH-D,Monitor,368.0,126,Supplier-Y,2025-07-01,2945
WH-C,Printer,65.0,206,Supplier-Z,2024-07-16,2306
WH-D,Tablet,51.0,190,Supplier-Z,2026-02-02,2030
WH-A,Mouse,460.0,57,Supplier-X,2025-08-23,1800
WH-D,Printer,384.0,147,Supplier-Z,2024-08-10,3424
WH-E,Monitor,263.0,192,Supplier-Y,2025-03-29,2735
WH-C,Printer,167.0,221,Supplier-Y,2024-12-22,2315
WH-B,Laptop,,234,Supplier-X,2025-11-17,1799
WH-D,Tablet,90.0,156,Supplier-X,2024-08-23,2360
WH-D,Printer,112.0,158,Supplier-B,2026-02-27,2868
WH-D,Printer,135.0,204,Supplier-Z,2025-11-19,2458
WH-E,Camera,384.0,155,Supplier-Y,2024-08-01,3781
WH-E,Mouse,39.0,230,Supplier-X,2026-02-06,1405
WH-A,Camera,92.0,184,Supplier-X,2024-07-25,2165
WH-C,Camera,60.0,206,Supplier-B,2025-01-09,2475
WH-B,Camera,370.0,198,Supplier-X,2024-12-02,2919
WH-E,Laptop,293.0,170,Supplier-Z,2026-04-13,3461
WH-E,Camera,395.0,140,Supplier-B,2024-07-16,4243
WH-C,Keyboard,38.0,202,Supplier-Y,2025-10-26,1397
WH-C,Keyboard,342.0,93,Supplier-X,2024-10-27,2119
WH-A,Keyboard,33.0,71,Supplier-B,2025-01-02,963
WH-E,Mobile,149.0,121,Supplier-Z,2024-10-07,2537
WH-C,Laptop,329.0,201,Supplier-X,2025-07-03,3115
WH-B,Camera,433.0,250,Supplier-Z,2025-12-02,3507
WH-B,Camera,429.0,58,Supplier-Y,2024-09-27,3212
WH-A,Tablet,498.0,176,Supplier-B,2025-09-12,3329
WH-D,Printer,358.0,213,Supplier-Y,2024-12-17,3109
WH-B,Mouse,348.0,79,Supplier-X,2025-06-27,1570
WH-B,Camera,263.0,241,Supplier-A,2025-12-26,3124
WH-E,Monitor,369.0,171,Supplier-A,2025-01-16,3191
WH-B,Printer,167.0,164,Supplier-X,2026-02-16,2146
WH-C,Laptop,489.0,140,Supplier-X,2025-04-13,3649
WH-D,Keyboard,158.0,75,Supplier-Z,2024-11-08,1804
WH-E,Printer,415.0,111,Supplier-A,2025-10-14,3970
WH-E,Monitor,192.0,96,Supplier-B,2025-10-15,2786
WH-E,Laptop,,155,Supplier-X,2026-02-01,2200
WH-E,Mobile,199.0,122,Supplier-A,2026-01-09,2775
WH-B,Laptop,,202,Supplier-X,2024-09-27,1886
WH-B,Mobile,64.0,83,Supplier-X,2026-02-25,1534
WH-E,Tablet,376.0,125,Supplier-X,2026-03-29,3217
WH-A,Camera,413.0,220,Supplier-Z,2024-11-05,3283
WH-C,Keyboard,,248,Supplier-Y,2025-02-27,931
WH-D,Printer,50.0,117,Supplier-Z,2024-09-22,2291
WH-D,Mobile,495.0,150,Supplier-A,2025-09-23,3426
WH-D,Mobile,296.0,105,Supplier-Y,2024-07-20,2852
WH-A,Camera,,68,Supplier-Z,2026-06-22,1942
WH-C,Camera,479.0,217,Supplier-X,2025-02-28,3614
WH-A,Laptop,156.0,134,Supplier-A,2025-09-21,2318
WH-E,Laptop,382.0,175,Supplier-B,2025-12-09,3940
WH-D,Printer,296.0,148,Supplier-X,2026-06-06,3090
WH-D,Mobile,294.0,141,Supplier-B,2025-04-18,3002
WH-C,Printer,343.0,215,Supplier-X,2025-05-05,2725
WH-C,Mouse,450.0,246,Supplier-X,2026-01-07,2198
WH-B,Tablet,40.0,219,Supplier-B,2024-12-02,1867
WH-C,Printer,342.0,174,Supplier-X,2024-08-29,2719
WH-D,Monitor,38.0,234,Supplier-Y,2025-10-03,1967
WH-B,Camera,52.0,214,Supplier-A,2025-12-19,2263
WH-D,Camera,38.0,136,Supplier-X,2026-04-07,2567
WH-A,Printer,128.0,220,Supplier-X,2025-10-31,1901
WH-D,Tablet,139.0,59,Supplier-B,2025-01-05,2843
WH-B,Camera,261.0,208,Supplier-X,2024-09-18,2456
WH-B,Tablet,108.0,128,Supplier-X,2025-12-24,1994
WH-A,Camera,107.0,66,Supplier-B,2026-02-21,2589
WH-A,Mobile,324.0,106,Supplier-A,2025-02-20,2254
WH-B,Printer,435.0,238,Supplier-Z,2026-04-22,3302
WH-D,Mouse,370.0,85,Supplier-X,2025-12-14,2174
WH-B,Laptop,108.0,80,Supplier-B,2025-10-10,2414
WH-B,Printer,376.0,92,Supplier-Y,2026-03-18,2902
WH-B,Laptop,71.0,211,Supplier-Y,2024-10-03,2176
WH-D,Tablet,470.0,51,Supplier-X,2026-03-11,3063
WH-B,Mobile,474.0,227,Supplier-B,2025-09-13,3385
WH-D,Tablet,93.0,183,Supplier-Y,2026-02-28,2259
WH-D,Monitor,332.0,202,Supplier-Y,2024-08-01,2638
WH-D,Mobile,198.0,192,Supplier-Z,2025-03-27,2464
WH-B,Mobile,68.0,244,Supplier-B,2025-08-18,2030
WH-E,Monitor,414.0,103,Supplier-A,2025-05-29,3333
WH-A,Monitor,427.0,171,Supplier-X,2025-11-26,2385
WH-B,Tablet,47.0,122,Supplier-X,2025-04-14,1498
WH-D,Keyboard,335.0,244,Supplier-Z,2024-08-23,2437
WH-A,Mobile,493.0,90,Supplier-X,2025-07-28,2831
WH-A,Camera,,110,Supplier-B,2025-11-15,2219
WH-D,Mouse,121.0,133,Supplier-A,2025-03-23,1680
WH-A,Mouse,70.0,155,Supplier-Y,2024-07-10,1055
WH-B,Printer,57.0,174,Supplier-Y,2026-04-21,1748
WH-D,Tablet,495.0,95,Supplier-Y,2025-05-23,3433
WH-C,Tablet,388.0,141,Supplier-A,2026-03-31,3052
WH-B,Mouse,36.0,65,Supplier-Y,2025-07-16,851
WH-B,Mobile,254.0,244,Supplier-A,2024-09-20,2387
WH-B,Keyboard,100.0,213,Supplier-B,2025-06-02,1613
WH-B,Monitor,230.0,175,Supplier-X,2025-04-08,2181
WH-B,Camera,,159,Supplier-A,2025-11-06,2326
WH-B,Monitor,242.0,201,Supplier-Z,2026-05-24,2052
WH-E,Laptop,,170,Supplier-A,2026-04-05,2825
WH-E,Laptop,291.0,228,Supplier-A,2025-06-23,3743
WH-A,Camera,,242,Supplier-A,2026-01-01,1756
WH-D,Monitor,203.0,215,Supplier-Y,2024-10-27,2205
WH-A,Camera,102.0,196,Supplier-Z,2025-06-04,2338
WH-E,Laptop,257.0,230,Supplier-A,2024-11-14,3428
WH-B,Mouse,380.0,210,Supplier-A,2026-01-21,1976
WH-D,Mouse,36.0,242,Supplier-B,2025-08-10,1546
WH-E,Monitor,337.0,238,Supplier-X,2025-11-18,2689
WH-E,Mouse,76.0,169,Supplier-X,2025-01-26,1644
WH-A,Mouse,109.0,230,Supplier-Z,2025-10-22,861
WH-E,Monitor,191.0,79,Supplier-Y,2026-03-20,2655
WH-D,Monitor,184.0,118,Supplier-Y,2026-06-15,2359
WH-D,Keyboard,52.0,165,Supplier-X,2025-08-23,1404
WH-E,Mobile,383.0,186,Supplier-A,2026-02-22,3348
WH-D,Mouse,116.0,167,Supplier-X,2025-07-11,1292
WH-A,Printer,167.0,69,Supplier-Y,2025-06-27,1906
WH-B,Keyboard,376.0,88,Supplier-X,2025-06-04,2175
WH-B,Laptop,233.0,188,Supplier-Z,2026-04-03,2516
WH-D,Mouse,247.0,55,Supplier-A,2026-01-19,2090
WH-B,Mobile,466.0,183,Supplier-X,2025-10-04,2878
WH-C,Printer,195.0,133,Supplier-B,2025-01-25,2883
WH-E,Camera,175.0,128,Supplier-A,2025-03-08,3162
WH-C,Monitor,210.0,247,Supplier-A,2026-04-23,2612
WH-A,Tablet,165.0,92,Supplier-Z,2025-01-07,2061
WH-B,Keyboard,109.0,227,Supplier-Y,2026-04-07,1368
WH-B,Tablet,,131,Supplier-Y,2026-06-26,1644
WH-B,Camera,209.0,193,Supplier-Z,2024-09-06,2839
WH-A,Mouse,95.0,188,Supplier-Z,2025-02-02,868
WH-E,Keyboard,,177,Supplier-X,2026-05-16,1593
WH-B,Camera,,239,Supplier-Z,2025-06-16,2129
WH-E,Mouse,262.0,243,Supplier-Z,2025-01-06,2379
WH-B,Camera,372.0,172,Supplier-Z,2026-02-03,2986
WH-B,Mobile,32.0,106,Supplier-Z,2025-06-26,1674
WH-C,Mobile,48.0,99,Supplier-Z,2025-09-16,1992
WH-E,Monitor,,187,Supplier-Z,2025-10-18,2284
WH-D,Mobile,221.0,131,Supplier-B,2025-12-01,2921
WH-E,Laptop,223.0,159,Supplier-Z,2025-04-21,3208
WH-D,Mouse,165.0,128,Supplier-X,2025-03-19,1623
WH-E,Mobile,392.0,239,Supplier-Y,2024-07-23,3238
WH-D,Keyboard,432.0,158,Supplier-Y,2025-07-19,2769
WH-D,Tablet,,103,Supplier-B,2026-04-22,2205
WH-D,Mouse,497.0,243,Supplier-X,2025-03-10,2583
WH-A,Laptop,347.0,156,Supplier-A,2024-11-19,2780
WH-E,Camera,406.0,101,Supplier-B,2025-07-14,3963
WH-D,Keyboard,,127,Supplier-B,2024-12-12,1827
WH-E,Keyboard,306.0,107,Supplier-A,2025-04-02,2431
WH-A,Tablet,173.0,212,Supplier-Z,2026-03-12,2010
WH-A,Keyboard,111.0,226,Supplier-A,2025-01-17,1363
WH-B,Laptop,411.0,67,Supplier-X,2025-03-22,3089
WH-C,Camera,243.0,210,Supplier-B,2025-02-03,3330
WH-D,Mobile,282.0,54,Supplier-Z,2026-05-15,3028
WH-C,Tablet,49.0,168,Supplier-B,2025-10-07,2446
WH-B,Mouse,47.0,157,Supplier-Y,2025-12-27,1066
WH-C,Laptop,169.0,69,Supplier-Z,2026-05-15,2720
WH-B,Tablet,326.0,189,Supplier-X,2025-01-31,2393
WH-C,Keyboard,370.0,142,Supplier-Z,2025-09-05,2159
WH-E,Mouse,26.0,122,Supplier-Y,2024-07-08,1468
WH-D,Printer,491.0,76,Supplier-Z,2025-08-06,3634
WH-B,Monitor,427.0,207,Supplier-Y,2024-11-26,2784
WH-E,Mobile,255.0,79,Supplier-A,2024-09-05,3234
WH-B,Laptop,198.0,142,Supplier-A,2025-01-04,2515
WH-D,Mouse,383.0,240,Supplier-Y,2026-01-11,2566
WH-A,Monitor,458.0,226,Supplier-Y,2025-05-12,2440
WH-C,Tablet,86.0,158,Supplier-Y,2025-07-15,2161
WH-A,Mobile,416.0,160,Supplier-X,2025-09-05,2219
WH-B,Mobile,426.0,201,Supplier-X,2026-02-09,2458
WH-D,Mobile,,220,Supplier-Z,2025-01-03,1755
WH-A,Mobile,125.0,101,Supplier-B,2025-12-19,1819
WH-C,Laptop,94.0,121,Supplier-X,2025-07-05,2328
WH-C,Mouse,457.0,236,Supplier-Y,2025-11-14,2484
WH-B,Mobile,439.0,53,Supplier-X,2026-01-04,2737
WH-B,Monitor,107.0,187,Supplier-Z,2025-07-17,1573
WH-A,Monitor,455.0,143,Supplier-B,2025-06-14,2972
WH-E,Tablet,364.0,96,Supplier-A,2026-03-08,3669
WH-C,Printer,129.0,154,Supplier-A,2024-07-14,2394
WH-C,Mobile,76.0,176,Supplier-A,2024-09-11,2268
WH-C,Keyboard,,133,Supplier-B,2025-02-14,1452
WH-A,Printer,253.0,129,Supplier-Z,2024-12-20,2560
WH-D,Monitor,228.0,159,Supplier-B,2025-05-11,2630
WH-A,Camera,,222,Supplier-Z,2025-12-20,1901
WH-A,Printer,287.0,71,Supplier-A,2025-01-05,2472
WH-B,Printer,375.0,76,Supplier-A,2025-02-23,3254
WH-B,Mobile,121.0,202,Supplier-Z,2025-11-28,2145
WH-D,Mobile,449.0,177,Supplier-Y,2025-09-25,3139
WH-E,Keyboard,202.0,204,Supplier-A,2025-04-13,2313
WH-D,Keyboard,413.0,81,Supplier-Y,2025-07-03,2467
WH-D,Camera,341.0,57,Supplier-Y,2025-09-03,3223
WH-A,Mobile,,95,Supplier-A,2025-08-17,1445
WH-E,Mouse,175.0,74,Supplier-Y,2025-03-25,2114
WH-A,Camera,123.0,177,Supplier-A,2025-05-27,2370
WH-E,Keyboard,195.0,188,Supplier-B,2026-01-31,2464
WH-A,Laptop,470.0,148,Supplier-A,2025-09-01,3290
WH-C,Printer,,95,Supplier-A,2025-03-14,2235
WH-C,Tablet,240.0,233,Supplier-A,2025-03-31,2669
WH-D,Mobile,365.0,191,Supplier-B,2025-12-28,3395
WH-E,Camera,307.0,179,Supplier-A,2025-06-18,3499
WH-D,Keyboard,322.0,207,Supplier-A,2025-01-27,2612
WH-C,Keyboard,,61,Supplier-Z,2025-02-24,1065
WH-C,Mouse,33.0,210,Supplier-B,2025-01-12,1373
WH-D,Mobile,196.0,155,Supplier-A,2024-12-27,2617
WH-A,Monitor,140.0,201,Supplier-Y,2024-10-02,1413
WH-A,Keyboard,192.0,187,Supplier-X,2026-01-12,1142
WH-A,Camera,310.0,157,Supplier-A,2024-11-27,2816
WH-A,Camera,31.0,146,Supplier-B,2025-03-03,2235
WH-D,Mouse,70.0,75,Supplier-B,2024-10-01,1863
WH-B,Mouse,277.0,220,Supplier-A,2026-01-29,1804
WH-B,Keyboard,243.0,212,Supplier-Z,2025-08-21,1962
WH-A,Monitor,,196,Supplier-Z,2026-02-13,1255
WH-B,Mobile,68.0,119,Supplier-B,2025-12-19,1788
WH-E,Camera,127.0,69,Supplier-A,2024-11-21,3264
WH-C,Keyboard,359.0,101,Supplier-A,2024-11-26,2389
WH-D,Keyboard,283.0,245,Supplier-B,2024-12-16,2529
WH-B,Laptop,461.0,177,Supplier-B,2026-01-25,3442
WH-D,Keyboard,434.0,246,Supplier-B,2025-07-12,2924
WH-E,Laptop,122.0,87,Supplier-B,2025-01-31,3039
WH-B,Keyboard,230.0,66,Supplier-A,2026-01-14,1914
WH-B,Printer,441.0,91,Supplier-Z,2025-10-01,3104
WH-E,Monitor,142.0,99,Supplier-A,2026-02-11,2390
WH-B,Keyboard,268.0,161,Supplier-A,2025-08-12,1920
WH-A,Monitor,159.0,116,Supplier-Y,2025-10-07,1831
WH-C,Tablet,389.0,55,Supplier-X,2025-02-05,2645
WH-A,Mouse,172.0,154,Supplier-B,2024-09-17,1402
WH-A,Printer,140.0,238,Supplier-Y,2026-04-08,2026
WH-A,Keyboard,,203,Supplier-A,2024-11-28,762
WH-C,Mouse,397.0,241,Supplier-B,2025-02-16,2671
WH-B,Printer,93.0,104,Supplier-Y,2024-12-24,1969
WH-D,Printer,461.0,175,Supplier-Z,2025-04-07,3706
WH-C,Mobile,299.0,224,Supplier-Z,2024-11-17,2573
WH-C,Tablet,263.0,128,Supplier-Z,2025-02-20,2449
WH-E,Laptop,373.0,221,Supplier-X,2024-07-11,3391
WH-C,Printer,347.0,142,Supplier-Z,2026-01-01,3306
WH-A,Monitor,,150,Supplier-A,2025-08-19,1280
WH-C,Mobile,172.0,91,Supplier-Y,2024-10-07,2190
WH-C,Printer,160.0,249,Supplier-X,2025-01-30,2381
WH-D,Printer,387.0,75,Supplier-Z,2024-08-05,3633
WH-B,Keyboard,53.0,204,Supplier-B,2024-08-12,1532
WH-E,Mouse,,63,Supplier-A,2025-09-03,1728
WH-B,Camera,21.0,210,Supplier-Y,2025-02-12,1969
WH-C,Mobile,100.0,232,Supplier-X,2025-12-24,2043
WH-B,Printer,251.0,238,Supplier-Z,2024-10-07,2471
WH-C,Tablet,443.0,122,Supplier-B,2025-11-08,3280
WH-A,Printer,113.0,146,Supplier-Z,2026-05-06,2216
WH-E,Monitor,31.0,215,Supplier-X,2026-02-05,2056
WH-B,Mobile,121.0,93,Supplier-A,2025-07-17,1838
WH-D,Printer,153.0,144,Supplier-B,2024-09-18,2796
WH-E,Mobile,387.0,247,Supplier-X,2026-05-09,3143
WH-D,Mobile,385.0,250,Supplier-Y,2024-07-10,2941
WH-C,Camera,86.0,102,Supplier-A,2025-09-19,2715
WH-B,Keyboard,234.0,87,Supplier-Y,2025-02-06,1416
WH-C,Keyboard,336.0,113,Supplier-Y,2025-06-30,2097
WH-E,Camera,25.0,132,Supplier-X,2025-07-07,2679
WH-D,Monitor,382.0,202,Supplier-A,2025-06-08,3027
WH-A,Mobile,,110,Supplier-B,2025-03-22,1591
WH-C,Laptop,149.0,147,Supplier-X,2024-11-21,2351
WH-D,Mouse,476.0,198,Supplier-Y,2024-08-09,2519
WH-C,Tablet,272.0,169,Supplier-B,2025-01-13,2733
WH-A,Mouse,241.0,79,Supplier-B,2026-07-01,1583
WH-A,Tablet,466.0,121,Supplier-A,2026-05-01,3130
WH-C,Printer,482.0,206,Supplier-Z,2025-07-07,3720
WH-C,Mouse,477.0,238,Supplier-A,2024-09-27,2682
WH-B,Camera,116.0,108,Supplier-X,2026-03-31,2091
WH-A,Camera,103.0,161,Supplier-Z,2024-08-20,2018
WH-D,Laptop,202.0,193,Supplier-A,2025-05-08,3104
WH-D,Camera,453.0,87,Supplier-X,2025-07-17,3472
WH-C,Mobile,464.0,93,Supplier-Y,2024-08-27,3225
WH-E,Keyboard,476.0,104,Supplier-B,2025-09-22,3326
WH-A,Tablet,,246,Supplier-A,2025-11-01,1605
WH-A,Mouse,165.0,224,Supplier-X,2025-12-16,857
WH-D,Mouse,495.0,132,Supplier-B,2024-08-11,2863
WH-A,Mobile,445.0,172,Supplier-A,2024-10-26,2817
WH-C,Laptop,42.0,165,Supplier-Z,2024-10-24,2242
WH-E,Tablet,,214,Supplier-Y,2026-03-23,2094
WH-C,Laptop,300.0,147,Supplier-X,2025-09-11,2697
WH-D,Keyboard,142.0,152,Supplier-Y,2025-02-21,1571
WH-A,Monitor,218.0,122,Supplier-Y,2024-09-05,1935
WH-B,Mobile,271.0,238,Supplier-Z,2025-01-09,2575
WH-C,Tablet,,144,Supplier-Z,2024-10-01,1912
WH-B,Camera,473.0,118,Supplier-A,2025-09-07,3657
WH-E,Printer,407.0,144,Supplier-X,2026-02-14,3585
WH-B,Printer,,137,Supplier-A,2025-05-20,1987
WH-B,Tablet,289.0,184,Supplier-A,2025-10-14,2459
WH-C,Camera,60.0,172,Supplier-A,2025-10-07,2483
WH-B,Tablet,450.0,159,Supplier-Z,2026-03-07,2951
WH-E,Laptop,59.0,181,Supplier-B,2025-10-24,2782
WH-E,Printer,68.0,234,Supplier-A,2024-12-23,2845
WH-C,Mouse,,178,Supplier-Z,2026-02-23,908
WH-A,Camera,422.0,150,Supplier-Y,2025-08-10,2839
WH-A,Printer,180.0,166,Supplier-Z,2025-04-22,2377
WH-D,Keyboard,490.0,97,Supplier-Z,2025-06-15,2778
WH-B,Mobile,152.0,77,Supplier-B,2026-06-06,2228
WH-E,Laptop,222.0,93,Supplier-X,2025-06-09,3151
WH-D,Camera,464.0,240,Supplier-A,2025-02-16,4050
WH-D,Keyboard,436.0,142,Supplier-B,2026-04-30,3061
WH-D,Keyboard,84.0,98,Supplier-X,2025-10-01,1309
WH-A,Monitor,127.0,87,Supplier-X,2025-05-30,1563
WH-B,Printer,,247,Supplier-B,2025-02-23,2087
